City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Bathsheba,BB,77.0,scattered clouds,13.22,-59.52,Atlantis Hotel
22,Avarua,CK,80.6,scattered clouds,-21.21,-159.78,Paradise Inn
25,Vung Tau,VN,80.06,overcast clouds,10.35,107.08,Seaside Resort
31,Rikitea,PF,75.83,broken clouds,-23.12,-134.97,Pension Maro'i
37,Kralendijk,BQ,80.6,overcast clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
39,Faanui,PF,81.25,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Yenagoa,NG,75.18,clear sky,4.92,6.26,Amba Hotels Limited
44,San Carlos Del Zulia,VE,75.56,light rain,9.0,-71.91,CHS
45,Inhambane,MZ,76.1,light rain,-23.86,35.38,Oceano
51,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Hithadhoo,MV,81.28,clear sky,-0.6,73.08,Scoop Guest House
56,Marsh Harbour,BS,75.7,clear sky,26.54,-77.06,Abaco Beach Resort
58,San Policarpo,PH,82.96,light rain,12.18,125.51,JM Lodge
82,Tecoanapa,MX,79.43,scattered clouds,16.52,-98.75,Hotel Manglares
86,Namatanai,PG,82.53,moderate rain,-3.67,152.43,Namatanai Hotel
90,Atuona,PF,78.8,light rain,-9.8,-139.03,Villa Enata
97,Kapaa,US,80.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
98,Tautira,PF,86.0,broken clouds,-17.73,-149.15,Pension Oaoa
120,Angoche,MZ,77.4,clear sky,-16.23,39.91,Guest House HESADA
124,Hilo,US,80.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
126,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
135,Buala,SB,86.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
137,Cabo San Lucas,MX,75.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
141,Lazaro Cardenas,MX,77.36,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
146,Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
154,Kalmunai,LK,79.5,scattered clouds,7.42,81.82,VS Villa
156,Butaritari,KI,82.06,scattered clouds,3.07,172.79,Isles Sunset Lodge
164,Lorengau,PG,84.52,light rain,-2.02,147.27,Lorengau Harbourside Hotel
165,Poum,NC,76.08,broken clouds,-20.23,164.02,Gîte kajeon
181,Kokopo,PG,86.02,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
190,Isangel,VU,82.4,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
194,Nicoya,CR,78.8,clear sky,10.15,-85.45,Guayacan Real
202,Ca Mau,VN,81.97,few clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
203,Oistins,BB,77.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
205,San Patricio,US,77.0,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
216,Itarema,BR,80.46,broken clouds,-2.92,-39.92,Windvillage
218,Daru,PG,85.1,overcast clouds,-9.08,143.21,New century hotel
219,Ishigaki,JP,75.2,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
223,Nabire,ID,79.02,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
224,San Ignacio,BZ,75.2,broken clouds,17.16,-89.07,Rainforest Haven Inn
226,Sinnamary,GF,78.06,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
232,Sunbury,AU,75.2,light intensity shower rain,-37.58,144.73,Sunbury Motor Inn
236,Ambon,ID,85.6,clear sky,-3.7,128.18,Swiss-Belhotel Ambon
238,Labuhan,ID,84.85,light rain,-6.88,112.21,bador sepret
240,Mercedes,AR,78.01,clear sky,-34.65,-59.43,Posada del Inti Centro
242,Sao Miguel Do Araguaia,BR,76.23,scattered clouds,-13.28,-50.16,Hotel Executivo Palace
