City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,73.99,39,0,6.93,clear sky
1,Yellowknife,CA,62.46,-114.35,-2.99,76,20,10.29,few clouds
2,Otjiwarongo,NA,-20.46,16.65,73.4,55,53,2.24,broken clouds
3,Taiyuan,CN,37.87,112.56,28.4,68,100,2.24,haze
4,Ushuaia,AR,-54.8,-68.3,39.2,69,40,5.82,scattered clouds
5,Bredasdorp,ZA,-34.53,20.04,62.6,72,100,9.17,overcast clouds
6,Pevek,RU,69.7,170.31,11.77,92,64,4.27,broken clouds
7,Price,US,39.6,-110.81,28.4,33,1,4.7,clear sky
8,Albanel,CA,48.88,-72.45,33.8,96,79,4.7,broken clouds
9,Saldanha,ZA,-33.01,17.94,59.0,82,100,6.93,overcast clouds
10,Paraiso,CR,9.84,-83.87,71.6,88,75,3.36,broken clouds
11,Bathsheba,BB,13.22,-59.52,77.0,88,40,14.99,scattered clouds
12,Krasnovishersk,RU,60.41,57.08,6.13,92,0,1.79,clear sky
13,New Norfolk,AU,-42.78,147.06,73.99,35,85,7.0,overcast clouds
14,Saint-Philippe,RE,-21.36,55.77,71.6,68,0,5.82,clear sky
15,Gravdal,NO,68.12,13.5,33.8,74,0,6.93,clear sky
16,Najran,SA,17.49,44.13,59.0,38,0,1.68,clear sky
17,Bluff,NZ,-46.6,168.33,52.88,58,100,9.64,overcast clouds
18,Albany,US,42.6,-73.97,45.0,87,95,2.71,overcast clouds
19,Palmer,US,42.16,-72.33,48.0,100,90,1.52,overcast clouds
20,Luderitz,NA,-26.65,15.16,57.2,93,0,12.75,clear sky
21,Belaya Gora,RU,68.53,146.42,-6.65,91,100,7.78,overcast clouds
22,Avarua,CK,-21.21,-159.78,80.6,69,44,18.34,scattered clouds
23,Riyadh,SA,24.69,46.72,60.8,87,40,5.1,scattered clouds
24,Hasaki,JP,35.73,140.83,63.0,62,20,9.17,few clouds
25,Vung Tau,VN,10.35,107.08,80.06,72,100,2.91,overcast clouds
26,Tabuk,PH,17.42,121.44,73.87,92,100,8.63,moderate rain
27,Iqaluit,CA,63.75,-68.51,23.0,85,90,16.11,light snow
28,Thaba Nchu,ZA,-29.21,26.84,62.6,82,1,9.17,clear sky
29,Bethel,US,41.37,-73.41,50.0,93,90,3.36,overcast clouds
30,Tuktoyaktuk,CA,69.45,-133.04,3.2,84,90,5.82,light snow
31,Rikitea,PF,-23.12,-134.97,75.83,80,69,17.9,broken clouds
32,Kaitangata,NZ,-46.28,169.85,55.0,66,87,11.01,overcast clouds
33,Jamestown,US,42.1,-79.24,42.01,86,90,4.7,overcast clouds
34,Thompson,CA,55.74,-97.86,19.4,92,90,2.24,overcast clouds
35,Severo-Kurilsk,RU,50.68,156.12,28.71,91,80,18.25,broken clouds
36,Kamaishi,JP,39.27,141.88,37.4,93,75,11.41,broken clouds
37,Kralendijk,BQ,12.15,-68.27,80.6,83,85,11.41,overcast clouds
38,Cape Town,ZA,-33.93,18.42,64.4,63,0,24.16,clear sky
39,Faanui,PF,-16.48,-151.75,81.25,71,66,1.7,broken clouds
40,Ozernovskiy,RU,51.5,156.52,29.5,91,100,20.89,light snow
41,Nikolskoye,RU,59.7,30.79,36.0,91,90,11.18,overcast clouds
42,Codrington,AU,-38.27,141.97,63.5,74,100,15.08,light rain
43,Yenagoa,NG,4.92,6.26,75.18,94,1,3.56,clear sky
44,San Carlos Del Zulia,VE,9.0,-71.91,75.56,90,100,2.35,light rain
45,Inhambane,MZ,-23.86,35.38,76.1,86,82,12.62,light rain
46,Jalu,LY,29.03,21.55,53.51,79,0,4.52,clear sky
47,Marrakesh,MA,31.63,-8.01,51.8,76,40,6.93,scattered clouds
48,Castro,BR,-24.79,-50.01,64.27,96,100,10.4,light rain
49,East London,ZA,-33.02,27.91,64.49,77,73,21.54,broken clouds
50,Aduturai,IN,11.01,79.48,73.67,84,0,7.85,clear sky
51,Vaini,TO,-21.2,-175.2,84.2,79,40,23.04,scattered clouds
52,Mataura,NZ,-46.19,168.86,65.97,27,100,10.02,overcast clouds
53,Qaanaaq,GL,77.48,-69.36,-2.69,82,100,4.94,overcast clouds
54,Chokurdakh,RU,70.63,147.92,-9.9,92,98,4.07,overcast clouds
55,Hithadhoo,MV,-0.6,73.08,81.28,74,6,9.4,clear sky
56,Marsh Harbour,BS,26.54,-77.06,75.7,67,0,11.9,clear sky
57,Lubbecke,DE,52.3,8.62,39.2,93,90,2.24,overcast clouds
58,San Policarpo,PH,12.18,125.51,82.96,82,100,11.81,light rain
59,Nizhnevartovsk,RU,60.93,76.55,-0.4,84,90,4.47,light snow
60,Carnarvon,AU,-24.87,113.63,73.4,46,0,24.16,clear sky
61,Barrow,US,71.29,-156.79,1.4,84,1,9.17,clear sky
62,Dikson,RU,73.51,80.55,26.26,99,100,17.16,light snow
63,Gogrial,SS,8.53,28.1,73.54,29,19,5.95,few clouds
64,Chitrakonda,IN,18.12,82.08,65.91,77,95,2.75,overcast clouds
65,Longyearbyen,SJ,78.22,15.64,33.8,69,75,41.38,broken clouds
66,Sorland,NO,67.67,12.69,33.8,74,0,6.93,clear sky
67,Khalkhal,IR,37.62,48.53,25.54,80,95,1.88,overcast clouds
68,Caravelas,BR,-17.71,-39.25,73.51,89,54,4.74,light rain
69,Geraldton,AU,-28.77,114.6,73.4,33,0,17.22,clear sky
70,Inverness,GB,57.48,-4.22,42.8,93,75,3.36,broken clouds
71,Heishan,CN,41.69,122.11,21.15,77,0,10.2,clear sky
72,Ancud,CL,-41.87,-73.82,55.99,100,75,13.87,broken clouds
73,Yavaros,MX,26.7,-109.52,68.0,65,91,8.01,overcast clouds
74,Srednekolymsk,RU,67.45,153.68,-3.48,92,100,6.29,overcast clouds
75,Vostok,RU,46.49,135.88,7.16,92,99,4.99,overcast clouds
76,Samfya,ZM,-11.36,29.56,68.61,79,100,6.35,overcast clouds
77,Busselton,AU,-33.65,115.33,64.0,59,0,1.99,clear sky
78,Talnakh,RU,69.49,88.4,10.4,85,40,22.37,light snow
79,Ust-Kuyga,RU,70.02,135.6,-0.6,91,100,2.37,overcast clouds
80,Muros,ES,42.78,-9.06,48.2,87,0,6.93,clear sky
81,Makat,KZ,47.65,53.35,27.59,96,93,8.41,overcast clouds
82,Tecoanapa,MX,16.52,-98.75,79.43,80,38,4.59,scattered clouds
83,Pisco,PE,-13.7,-76.22,66.2,82,0,12.75,clear sky
84,Northam,GB,51.03,-4.22,46.99,95,88,4.0,moderate rain
85,Portland,US,45.52,-122.68,41.0,90,100,1.99,overcast clouds
86,Namatanai,PG,-3.67,152.43,82.53,79,99,6.38,moderate rain
87,Constitucion,CL,-35.33,-72.42,53.49,85,0,13.24,clear sky
88,Puerto Ayora,EC,-0.74,-90.35,72.0,86,77,5.99,broken clouds
89,Khatanga,RU,71.97,102.5,15.12,96,100,17.4,light snow
90,Atuona,PF,-9.8,-139.03,78.8,74,60,21.18,light rain
91,Lavrentiya,RU,65.58,-171.0,23.41,93,69,10.36,broken clouds
92,Kodiak,US,57.79,-152.41,37.4,74,90,18.34,light rain
93,Saskylakh,RU,71.92,114.08,5.23,93,42,9.91,scattered clouds
94,Goma,CD,-1.68,29.22,62.13,80,48,3.13,scattered clouds
95,Port Hardy,CA,50.7,-127.42,42.8,100,90,3.36,light rain
96,Chuy,UY,-33.7,-53.46,62.98,92,0,10.51,clear sky
97,Kapaa,US,22.08,-159.32,80.6,65,20,21.92,few clouds
98,Tautira,PF,-17.73,-149.15,86.0,70,75,8.05,broken clouds
99,Katsuura,JP,35.13,140.3,62.01,48,20,19.46,few clouds
100,Burnie,AU,-41.07,145.92,59.0,77,100,8.99,light rain
101,Mount Gambier,AU,-37.83,140.77,64.4,77,100,13.87,light rain
102,Nizhniy Odes,RU,63.64,54.86,11.05,96,0,2.93,clear sky
103,Alice Springs,AU,-23.7,133.88,108.0,12,0,19.46,clear sky
104,Potchefstroom,ZA,-26.72,27.1,65.64,75,60,17.87,broken clouds
105,Berlevag,NO,70.86,29.09,34.88,85,34,20.62,scattered clouds
106,Avrille,FR,47.5,-0.58,45.0,93,0,5.82,clear sky
107,Merauke,ID,-8.47,140.33,86.0,64,100,6.22,overcast clouds
108,Punta Arenas,CL,-53.15,-70.92,39.2,71,40,31.09,scattered clouds
109,Lagoa,PT,39.05,-27.98,55.81,65,13,24.79,few clouds
110,Prince Rupert,CA,54.32,-130.32,41.0,83,75,3.36,broken clouds
111,Tuatapere,NZ,-46.13,167.68,56.88,45,100,1.28,overcast clouds
112,Dunedin,NZ,-45.87,170.5,57.0,55,100,8.99,overcast clouds
113,Havre-Saint-Pierre,CA,50.23,-63.6,30.2,100,90,8.81,fog
114,Sakakah,SA,29.97,40.21,59.32,48,70,9.86,broken clouds
115,Salalah,OM,17.02,54.09,73.4,69,20,5.82,few clouds
116,Provost,CA,52.35,-110.27,19.4,85,98,8.05,overcast clouds
117,Bengkulu,ID,-3.8,102.27,74.77,94,100,3.27,moderate rain
