City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Joao Da Barra,BR,2020-11-24 02:15:39,-21.64,-41.05,72.05,86,100,3.24
1,Vondrozo,MG,2020-11-24 02:15:40,-22.82,47.28,64.02,100,67,2.3
2,Lakes Entrance,AU,2020-11-24 02:15:40,-37.88,147.98,70.0,52,4,1.99
3,Butaritari,KI,2020-11-24 02:12:17,3.07,172.79,82.18,76,47,11.65
4,Ushuaia,AR,2020-11-24 02:11:33,-54.8,-68.3,42.8,56,20,25.28
5,Itarema,BR,2020-11-24 02:15:41,-2.92,-39.92,78.24,83,29,10.33
6,Coihaique,CL,2020-11-24 02:15:41,-45.58,-72.07,42.8,87,90,4.7
7,Yar-Sale,RU,2020-11-24 02:15:41,66.83,70.83,13.66,96,98,12.91
8,Busselton,AU,2020-11-24 02:11:54,-33.65,115.33,81.0,46,0,3.0
9,Pierre,US,2020-11-24 02:15:42,44.37,-100.35,39.2,80,1,20.8
10,Bredasdorp,ZA,2020-11-24 02:15:42,-34.53,20.04,60.8,63,7,10.29
11,Ust-Shonosha,RU,2020-11-24 02:15:43,61.15,41.34,28.11,97,100,9.04
12,Nanortalik,GL,2020-11-24 02:15:43,60.14,-45.24,24.75,86,0,13.87
13,Maksatikha,RU,2020-11-24 02:15:43,57.8,35.88,34.14,93,100,6.71
14,Ponta Do Sol,PT,2020-11-24 02:15:44,32.67,-17.1,64.4,72,20,6.93
15,Upernavik,GL,2020-11-24 02:15:44,72.79,-56.15,15.84,84,96,8.37
16,Alyangula,AU,2020-11-24 02:15:45,-13.85,136.42,89.6,62,0,8.05
17,Gat,IL,2020-11-24 02:15:45,31.61,34.76,61.0,100,43,4.0
18,Axim,GH,2020-11-24 02:15:46,4.87,-2.24,78.19,85,0,5.48
19,Sitka,US,2020-11-24 02:13:13,57.05,-135.33,42.8,81,90,11.41
20,Kapaa,US,2020-11-24 02:15:46,22.08,-159.32,80.6,74,75,17.22
21,San Quintin,MX,2020-11-24 02:15:46,30.48,-115.95,60.51,81,2,9.31
22,Goderich,CA,2020-11-24 02:15:47,43.75,-81.72,39.0,82,100,8.99
23,Ribeira Grande,PT,2020-11-24 02:15:47,38.52,-28.7,62.73,80,100,13.73
24,Guangyuan,CN,2020-11-24 02:15:47,32.44,105.82,45.0,99,100,3.18
25,Albany,US,2020-11-24 02:15:47,42.6,-73.97,36.0,75,7,1.99
26,Zhuhai,CN,2020-11-24 02:15:47,22.28,113.57,75.0,78,40,14.99
27,Acapulco,MX,2020-11-24 02:11:19,16.86,-99.89,82.4,83,20,4.7
28,Hobart,AU,2020-11-24 02:11:26,-42.88,147.33,66.2,42,75,11.41
29,Chuy,UY,2020-11-24 02:15:48,-33.7,-53.46,64.09,86,0,12.82
30,Atuona,PF,2020-11-24 02:15:48,-9.8,-139.03,78.19,73,4,13.94
31,New Norfolk,AU,2020-11-24 02:15:49,-42.78,147.06,66.0,48,100,3.0
32,Baijiantan,CN,2020-11-24 02:15:49,45.63,85.18,24.82,78,100,4.29
33,East London,ZA,2020-11-24 02:15:49,-33.02,27.91,66.51,86,100,13.06
34,Lasa,IT,2020-11-24 02:15:49,46.62,10.7,33.8,80,5,4.7
35,Limenaria,GR,2020-11-24 02:15:49,40.63,24.58,46.99,67,0,4.68
36,Bani,DO,2020-11-24 02:15:50,18.28,-70.33,78.01,88,47,4.81
37,Luderitz,NA,2020-11-24 02:15:50,-26.65,15.16,59.0,82,0,4.7
38,Bluff,NZ,2020-11-24 02:15:51,-46.6,168.33,62.01,49,100,8.99
39,Ko Samui,TH,2020-11-24 02:15:51,9.54,99.94,84.2,79,20,3.36
40,Puerto Ayora,EC,2020-11-24 02:15:51,-0.74,-90.35,69.19,78,30,8.3
41,Cherskiy,RU,2020-11-24 02:12:09,68.75,161.3,-1.03,93,100,5.61
42,Karratha,AU,2020-11-24 02:15:51,-20.74,116.85,92.57,39,1,8.34
43,Cape Town,ZA,2020-11-24 02:12:42,-33.93,18.42,59.0,87,40,11.41
44,Rikitea,PF,2020-11-24 02:11:57,-23.12,-134.97,74.05,63,100,3.11
45,Hilo,US,2020-11-24 02:15:52,19.73,-155.09,80.6,69,90,3.36
46,Hasaki,JP,2020-11-24 02:15:52,35.73,140.83,54.0,50,75,8.05
47,Lebu,CL,2020-11-24 02:12:04,-37.62,-73.65,51.57,87,0,3.42
48,Arraial Do Cabo,BR,2020-11-24 02:15:53,-22.97,-42.03,73.4,88,75,8.05
49,Kargil,IN,2020-11-24 02:15:53,34.57,76.1,15.8,88,100,2.98
50,Vardo,NO,2020-11-24 02:11:04,70.37,31.11,38.93,75,86,19.35
51,Durango,MX,2020-11-24 02:11:44,24.83,-104.83,59.58,37,0,13.6
52,Vaini,TO,2020-11-24 02:15:54,-21.2,-175.2,82.4,65,75,8.05
53,Saskylakh,RU,2020-11-24 02:15:54,71.92,114.08,1.58,93,86,6.98
